Geneid,shScramble,shDDX41,DMSO,CX5461
ENSG00000073756.13,0.0,0.0,0.9568529432433708,0.0
ENSG00000116711.10,53.17746608455676,20.02617360816976,102.97917924702514,79.72759396460623
ENSG00000162670.11,2.239321390964178,2.248824160149806,2.4560643766658763,1.2944024712419613
ENSG00000150681.10,1.7080721712941682,0.0,0.0,0.0
ENSG00000253148.1,0.0,0.0,0.0,0.0
ENSG00000090104.12,0.0,0.0,0.0,0.0
ENSG00000127074.15,0.0,0.0,0.0,0.0
ENSG00000116741.8,36.66138047352464,78.23603247961783,32.670478941430254,54.30322129892072
ENSG00000116750.14,110.61158435316388,98.8187893841658,204.82197877107453,191.39638126282773
ENSG00000116747.13,99.6951068014607,90.05338247929551,139.7180421268263,119.82777461573548
ENSG00000023572.10,16.17882660027283,12.379034636161183,58.7267338296122,53.88476593507608
ENSG00000134371.14,75.5513208902173,63.07425503292316,79.36964088458109,70.24220556591096
ENSG00000162630.6,1.3484526921631808,0.0,0.0,0.0
